year,station_id,station_name,station_lat,station_lon,station_address
2019,32BAEcobici,032 - Catedral,-34.6072074,-58.3735984,67 San Martin
2019,38BAEcobici,038 - Plaza Libertad,-34.5970497,-58.3828403,Cerrito 990 y Av. Marcelo T. De Alvear
2019,75BAEcobici,075 - Plaza Primero de Mayo,-34.6122976,-58.3989871,238 Pichincha
2019,42BAEcobici,042 - Diagonal Norte,-34.6046074,-58.3800307,"Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha"
2019,98BAEcobici,037- Claudia Pía Braudracco,-34.6081643,-58.3779002,Esmeralda y Rivadavia
2019,101BAEcobici,101 - Fitz Roy,-34.5891857,-58.4424397,Fitz Roy  1092 & Loyola
2019,8BAEcobici,008 - Congreso,-34.6094218,-58.3893364,"Cevallos, Virrey& Yrigoyen, Hipolito Av."
2019,54BAEcobici,054 - Acuña de Figueroa,-34.5982097,-58.4220694,Lavalle 4015
2019,58BAEcobici,058 - Ministro Carranza,-34.5752773,-58.4346883,Santa Fe Av. & Dorrego
2019,56BAEcobici,056 - Plaza Palermo Viejo,-34.588567,-58.425999,Costa Rica & Armenia
2019,61BAEcobici,098 - BENITO JUAREZ,-34.6189273,-58.5051769,Benito Juarez 2231
2019,163BAEcobici,163 - ONCE II,-34.6095663,-58.4064308,Bartolome Mitre & Av. Puyrredon
2019,2BAEcobici,002 - Retiro I,-34.59242413,-58.37470989,AV. Dr. José María Ramos Mejía 1300
2019,69BAEcobici,069 - Ecuador,-34.5961006,-58.4046092,"1226 Ecuador & Mansilla, Lucio Norberto, General"
2019,76BAEcobici,076 - Ayacucho,-34.6074084,-58.3950548,"Ayacucho &Peron, Juan Domingo, Tte. General"
2019,23BAEcobici,023 - Suipacha,-34.600139,-58.379836,Suipacha & Viamonte
2019,12BAEcobici,012 - Plaza Vicente Lopez,-34.5927096,-58.388807,Parana & Juncal
2019,44BAEcobici,044 - Ecoparque,-34.5755148,-58.4138829,"Av. Del Libertador, 3260"
2019,27BAEcobici,027 - Montevideo,-34.599068,-58.3900887,Cordoba Av. & Montevideo
2019,17BAEcobici,017 - Plaza Almagro,-34.6064101,-58.4187306,"441 Bulnes & Peron, Juan Domingo, Tte. General"
2019,96BAEcobici,096 - Carlos Gardel,-34.6027814,-58.4116586,3302 Guardia Vieja & Aguero
2019,104BAEcobici,104 - Federico Lacroze,-34.587617,-58.455212,Av. Guzman 1100 & Av. Corrientes
2019,1BAEcobici,ERRONEA,-34.583811,-58,Av. Pres. Figueroa Alcorta 2120
2019,26BAEcobici,026 - JUANA MANSO I,-34.600752,-58.3638723,"Manso Juana & De La Barra, Emma"
2019,4BAEcobici,004 - Plaza Roma,-34.601822,-58.368781,Lavalle & Bouchard
2019,46BAEcobici,046 - Chile,-34.6163012,-58.3743749,"Calle Perú, 718"
2019,87BAEcobici,087 - Guayaquil,-34.619845,-58.4314942,Guayaquil & Doblas
2019,49BAEcobici,049 - 33 Orientales,-34.6290527,-58.422611,Constitucion & Treinta Y Tres Orientales
2019,20BAEcobici,020 - DISTRITO AUDIOVISUAL,-34.5809751,-58.4443269,Conde & Concepción Arenal
2019,63BAEcobici,063 - Reconquista,-34.5986,-58.373062,Reconquista & Cordoba Av.
2019,184BAEcobici,184 - Pedro Echague,-34.6306129,-58.3913419,Pedro Echague 1878 & Combate De Los Pozos
2019,197BAEcobici,197 - PLAZA CIUDAD DE UDINE,-34.620998,-58.493044,Mercedes 1480
2019,92BAEcobici,092 - Salcedo,-34.6316444,-58.4053386,2908 Salcedo & Dean Funes
2019,198BAEcobici,Armazém,-34.572598,-58.3802415,Armazem
2019,209BAEcobici,Depósito,-34,-58,Balboa 220
2019,202BAEcobici,001 - FACULTAD DE DERECHO,-34.583749,-58.390602,Av. Pres. Figueroa Alcorta 2120
2019,288BAEcobici,333 - MIRO,-34.6404886,-58.4429517,1684 Miro
2019,11BAEcobici,011 - Tribunales,-34.6011762,-58.3850791,600 Talcahuano
2019,146BAEcobici,146 - Hospital Francés,-34.6221118,-58.4078419,"3024 Calvo, Carlos"
2019,185BAEcobici,185 - AV. PAVÓN Y 33 ORIENTALES,-34.63133,-58.42177,33 Orientales 1400
2019,130BAEcobici,130 - RETIRO II,-34.5917376,-58.37436403,Av. Dr. José María Ramos Mejía 1350
2019,228BAEcobici,010 - Madero UCA,-34.6164879,-58.3656683,"1600 Moreau De Justo, Alicia Av."
2019,447BAEcobici,Balboa Definitivo,-34.59339,-58.4657845,220 Balboa
2019,74BAEcobici,074 - INSTITUTO LELOIR,-34.60439,-58.43454,Juana De Ibarbourou & Av Patricias Argentinas
2019,308BAEcobici,251 - Solar de la Abadía,-34.567633,-58.436752,Maure 1819
2019,425BAEcobici,394 - Av. La Plata,-34.6440763,-58.422091,"804 Arbeletche, Anibal P."
2019,291BAEcobici,244 - UADE,-34.617247,-58.381627,Lima 750
